n_trees,sample_size,auc,train_time_sec,eval_time_sec,total_time_sec,score_mean,score_std,score_min,score_median,score_max
25,2,0.5,0.0012400999548844993,5.920460800000001,5.921700899954885,0.5,0.0,0.5,0.5,0.5
25,4,0.7030305963258439,0.0047073999885469675,11.250216400017962,11.254923800006509,0.5095349367630768,0.025824306595912314,0.44655911544992455,0.507520661453656,0.5917570619381469
25,8,0.6150968645613285,0.002628499991260469,14.36475700000301,14.36738549999427,0.5231834732618351,0.04116404098991581,0.42180556511605005,0.5205573061519503,0.6679812062197815
25,16,0.5973173383034093,0.004696600022725761,17.94751329999417,17.952209900016896,0.5035534094213395,0.048663035473424675,0.40399642529069085,0.5000919760692528,0.6653600476357331
25,32,0.8027324407708691,0.008492099994327873,22.205972499970812,22.21446459996514,0.4975475999799842,0.038463266573831915,0.4181955111759513,0.49102614765040165,0.6819859678481269
25,64,0.7552566470218491,0.013053300033789128,33.58457509998698,33.59762840002077,0.48823122948217856,0.05239854073923383,0.40413248240386973,0.47365203952127716,0.7178563168016943
25,128,0.9004291946739522,0.0964246999938041,53.20101670001168,53.29744140000548,0.47847755186578617,0.04720862354255909,0.39168206274908446,0.46983653974320716,0.761625604755236
25,256,0.8929811241017425,0.0953567000105977,41.38690469996072,41.48226139997132,0.46075441464966366,0.04883741635196697,0.3793882344482331,0.4481012996528624,0.8075088408188539
25,512,0.8841581469298584,0.21812670002691448,50.910192999988794,51.12831970001571,0.4649617526749264,0.047285639034249344,0.3887677253703437,0.453231673849129,0.7656861142033163
25,1024,0.9088503782841296,0.6506378000485711,76.75808539998252,77.40872320003109,0.4602972644543764,0.04670661527579183,0.3828019511352759,0.4486821720488811,0.7761109694597188
25,2048,0.9184550306581124,0.7318638999713585,50.08137450000504,50.8132383999764,0.44685040955850813,0.04829235787787038,0.3794863632909306,0.4339524554580557,0.7801145819542997
25,4096,0.939795653316698,0.32273909996729344,35.59185230004368,35.91459140001098,0.4493399055434762,0.04231408027941496,0.38235174925317816,0.439042269097381,0.7907885710945572
50,2,0.5,0.0021348000154830515,12.132285900006536,12.13442070002202,0.5,0.0,0.5,0.5,0.5
50,4,0.6587013653679794,0.003269999986514449,23.670450299978256,23.67372029996477,0.5108452122736243,0.025008611341965786,0.4380692241867328,0.5107783322313781,0.5917570619381469
50,8,0.6370963230572475,0.011660500022117049,28.638128299964592,28.64978879998671,0.5236791307742331,0.03444776796131874,0.43758130500871745,0.5226619733655459,0.6450258872435114
50,16,0.7210413908858707,0.008674599986989051,36.90404059999855,36.91271519998554,0.5014330631433462,0.03704412706093626,0.42240223890249473,0.49850554960541305,0.6459669818622344
50,32,0.7783928100583309,0.015094500035047531,44.155062399979215,44.17015690001426,0.49237881358716107,0.041964661372881074,0.4237099383765193,0.48314671653915087,0.6967448112146793
50,64,0.8360134326067326,0.04547670000465587,77.1252894999925,77.17076619999716,0.48083646146919296,0.049966546783112076,0.39529266053390727,0.4688086074622755,0.7308471214335506
50,128,0.8919914562084439,0.04082380002364516,52.52898980001919,52.569813600042835,0.47385843441730957,0.04705711134319109,0.3937175944052495,0.46209753533583653,0.7490175177904789
50,256,0.906703631382868,0.06798350001918152,54.514300899987575,54.582284400006756,0.46098972764341867,0.04823051791038094,0.38223573132919203,0.4475652035507198,0.7716511030389783
50,512,0.8971508424542787,0.13539499999023974,61.33721590001369,61.47261090000393,0.4640190398820285,0.04636086174579164,0.38765608277412983,0.4520287366664503,0.7627822186907743
50,1024,0.8962470525727241,0.32982059998903424,63.66585390002001,63.995674500009045,0.45895450150497774,0.046352612919403555,0.3861375388912629,0.44770363843112315,0.7603395988141504
50,2048,0.9291783481133903,0.3972992000053637,67.85877510003047,68.25607430003583,0.44920974090574783,0.04438817075867229,0.38358046178654287,0.4378052480960133,0.7711564710763464
50,4096,0.9399014685823855,0.880443700007163,71.60373329999857,72.48417700000573,0.4528386663829029,0.041343800339573904,0.38837499728203995,0.44165979922966103,0.7522058595597342
100,2,0.5,0.0041177000384777784,25.111211299954448,25.115328999992926,0.5,0.0,0.5,0.5,0.5
100,4,0.6514056252491957,0.007570900022983551,47.80273469997337,47.810305599996354,0.5192403699546414,0.01543734970770179,0.4775905361627593,0.5190142856605827,0.580506696787681
100,8,0.5890569731734792,0.02433829999063164,83.6073690999765,83.63170739996713,0.5239130350373539,0.029965261705704613,0.4508135895514948,0.5212579185202801,0.6355530888029949
100,16,0.7068470197801133,0.05263150000246242,110.01236509997398,110.06499659997644,0.5041377836564035,0.03434724680597514,0.43022710247326207,0.500250828180876,0.6476720255433305
100,32,0.7863260994845431,0.02848530001938343,99.24222810001811,99.2707134000375,0.4927958075285148,0.040236802950133745,0.4227394148552048,0.4838161100811093,0.6895615001856289
100,64,0.8535643402682755,0.049036099982913584,94.36820370005444,94.41723980003735,0.4834090447448238,0.045267443306561614,0.40889255145055253,0.4725059129505831,0.7240719504190953
100,128,0.8915924420751423,0.10387630003970116,102.19132379995426,102.29520009999396,0.4752332797061061,0.04509837837377522,0.4031285957258123,0.4632949329752828,0.7451787631883404
100,256,0.9045264789281692,0.13724310003453866,117.54904730000999,117.68629040004453,0.46288938369850685,0.04681372597439408,0.39353008213336327,0.4499814166877343,0.7537123382197763
100,512,0.8995643720423232,0.26817160000791773,122.38309990003472,122.65127150004264,0.4613339722695148,0.044348592603957335,0.38935384695398256,0.44931622880994837,0.7556103310460099
100,1024,0.9127473707295937,0.49651660001836717,126.03517759998795,126.53169420000631,0.45371789769724225,0.0450575181225191,0.3877652905885741,0.4418278506797916,0.7681848105464361
100,2048,0.9390332339241256,0.7710562999709509,131.73624519997975,132.5073014999507,0.4496146216093213,0.04299172196218617,0.3895471678980379,0.4371454435504818,0.7594907548081714
100,4096,0.9346213265421432,1.5315798000083305,142.27280289999908,143.8043827000074,0.45045649975075247,0.04093793761338902,0.3886170114353475,0.440068118296468,0.7594312398722866
200,2,0.5,0.0081279999576509,47.85083220002707,47.85896019998472,0.5,0.0,0.5,0.5,0.5
200,4,0.5220054641752739,0.01294029998825863,89.98862870002631,90.00156900001457,0.5187314297665828,0.015073476401198528,0.4814255501222014,0.5173565389626591,0.581436001172301
200,8,0.5787671264358538,0.025829699996393174,110.17665269999998,110.20248239999637,0.5245394013416326,0.026746803909546587,0.463852953188019,0.5202248452365879,0.6337179045327541
200,16,0.7374206761863251,0.035451000032480806,139.14661699999124,139.18206800002372,0.5042467748530034,0.03399705874419033,0.4307873233373556,0.501554933184735,0.6433138111777669
200,32,0.7841256770242375,0.06927149998955429,169.4664973000181,169.53576880000765,0.49663668434830893,0.038839385509273176,0.4277118768229944,0.48916337989348363,0.6741491401568238
200,64,0.8215185749416535,0.11146709998138249,202.4306416999898,202.54210879997117,0.48703637445688713,0.043440550438410545,0.41559500785331777,0.4773288276835543,0.7108869978845791
200,128,0.8906733665384943,0.16309350001392886,204.88723479997134,205.05032829998527,0.4760456917399218,0.04421020275924828,0.40499175343793264,0.46460131035757246,0.7298272620442683
200,256,0.8946129488596705,0.3845089999958873,219.239123700012,219.62363270000787,0.46618151480300113,0.04692233492127436,0.3933868395018009,0.45333085832089137,0.7444697981529018
200,512,0.9088905754971867,0.5833069999935105,243.54870839999057,244.13201539998408,0.46069312914334387,0.043124017156244907,0.3952763186134811,0.44897619181752557,0.7418034887241438
200,1024,0.9110845582677098,0.9753268000204116,257.1240686000092,258.0993954000296,0.4560062982198476,0.04439458188313402,0.38864044044216145,0.44407325451123436,0.7579815305781975
200,2048,0.9340237742584604,1.9737266000011005,287.03777370002354,289.01150030002464,0.4488643436100669,0.042362329464430665,0.38939226262291243,0.4371684056833334,0.7507694798500526
200,4096,0.9303564518036386,2.8082554999855347,292.7806382999988,295.58889379998436,0.44846504892332356,0.041670823040033195,0.38725596935519596,0.43684352499402557,0.7646702425219618
